Episode,Reward,Accumulated Reward,Average Reward,Loss
1,9,9,9.0,244134.4375
2,9,18,9.0,66581.1015625
3,9,27,9.0,5746.0546875
4,9,36,9.0,4292.984375
5,8,44,8.8,11.593798637390137
6,10,54,9.0,1.9014530181884766
7,9,63,9.0,87473.6875
8,7,70,8.75,1969.2650146484375
9,10,80,8.88888888888889,23782.689453125
10,6,86,8.6,113.48979949951172
11,10,96,8.727272727272727,1647.8662109375
12,9,105,8.75,2880.4462890625
13,10,115,8.846153846153847,25521.271484375
14,6,121,8.642857142857142,311561.625
15,10,131,8.733333333333333,7731.185546875
16,-7,124,7.75,8306.1552734375
17,10,134,7.882352941176471,0.3171996772289276
18,6,140,7.777777777777778,113356.125
19,9,149,7.842105263157895,0.32367876172065735
20,10,159,7.95,0.3268136978149414
21,10,169,8.047619047619047,0.33321648836135864
22,9,178,8.090909090909092,0.3388630449771881
23,9,187,8.130434782608695,0.34032556414604187
24,10,197,8.208333333333334,0.322344571352005
25,5,202,8.08,0.3407003581523895
26,10,212,8.153846153846153,0.34066686034202576
27,10,222,8.222222222222221,0.34062597155570984
28,10,232,8.285714285714286,0.34052225947380066
29,10,242,8.344827586206897,0.34026607871055603
30,9,251,8.366666666666667,0.3223051428794861
31,10,261,8.419354838709678,0.3399863541126251
32,10,271,8.46875,0.3399234712123871
33,10,281,8.515151515151516,0.3397967517375946
34,10,291,8.558823529411764,0.339703768491745
35,5,296,8.457142857142857,0.33922144770622253
36,8,304,8.444444444444445,0.33851853013038635
37,10,314,8.486486486486486,0.3380335867404938
38,10,324,8.526315789473685,0.33744803071022034
39,1,325,8.333333333333334,0.3354262411594391
40,6,331,8.275,0.3322351276874542
41,10,341,8.317073170731707,0.33011266589164734
42,9,350,8.333333333333334,0.3274168372154236
43,8,358,8.325581395348838,0.32412517070770264
44,8,366,8.318181818181818,0.3194068670272827
45,7,373,8.28888888888889,0.3148137927055359
46,10,383,8.326086956521738,0.3121955990791321
47,9,392,8.340425531914894,0.3086264431476593
48,9,401,8.354166666666666,0.30469760298728943
49,10,411,8.387755102040817,0.3010367155075073
50,8,419,8.38,0.29774484038352966
51,10,429,8.411764705882353,0.29100364446640015
52,9,438,8.423076923076923,0.28564032912254333
53,10,448,8.452830188679245,0.28119510412216187
54,10,458,8.481481481481481,0.2801686227321625
55,10,468,8.50909090909091,0.2782207429409027
56,10,478,8.535714285714286,0.2754569947719574
57,10,488,8.56140350877193,0.271977037191391
58,10,498,8.586206896551724,0.26787394285202026
59,10,508,8.610169491525424,0.26323431730270386
60,10,518,8.633333333333333,0.25813794136047363
61,10,528,8.655737704918034,0.25265833735466003
62,10,538,8.67741935483871,0.24686212837696075
63,10,548,8.698412698412698,0.24081037938594818
