Episode,Reward,Accumulated Reward,Average Reward,Loss
1,9,9,9.0,3463.1083984375
2,7,16,8.0,3844.100341796875
3,8,24,8.0,58733.02734375
4,9,33,8.25,22.64362907409668
5,8,41,8.2,13491.7607421875
6,8,49,8.166666666666666,0.35378220677375793
7,5,54,7.714285714285714,0.34718748927116394
8,8,62,7.75,0.3441188633441925
9,6,68,7.555555555555555,0.3420790433883667
10,8,76,7.6,0.3417070209980011
11,7,83,7.545454545454546,0.34130504727363586
12,3,86,7.166666666666667,0.34096601605415344
13,10,96,7.384615384615385,0.34082281589508057
14,9,105,7.5,0.3407239019870758
15,9,114,7.6,0.3404906094074249
16,7,121,7.5625,0.34018006920814514
17,10,131,7.705882352941177,0.3399792015552521
18,7,138,7.666666666666667,0.339735746383667
19,7,145,7.631578947368421,0.33943721652030945
20,10,155,7.75,0.33915746212005615
21,10,165,7.857142857142857,0.3389451801776886
22,9,174,7.909090909090909,0.338483065366745
23,9,183,7.956521739130435,0.33809688687324524
24,10,193,8.041666666666666,0.3375720679759979
25,10,203,8.12,0.3369993269443512
26,10,213,8.192307692307692,0.33639422059059143
27,10,223,8.25925925925926,0.33569586277008057
28,10,233,8.321428571428571,0.33497655391693115
29,10,243,8.379310344827585,0.33416831493377686
30,10,253,8.433333333333334,0.33326950669288635
31,8,261,8.419354838709678,0.33223438262939453
32,9,270,8.4375,0.33070892095565796
33,7,277,8.393939393939394,0.3291296362876892
34,10,287,8.441176470588236,0.3266313672065735
35,10,297,8.485714285714286,0.3238263428211212
36,10,307,8.527777777777779,0.3209854066371918
37,10,317,8.567567567567568,0.3187564015388489
38,9,326,8.578947368421053,0.31523802876472473
39,10,336,8.615384615384615,0.3115811049938202
40,10,346,8.65,0.3088413178920746
41,10,356,8.682926829268293,0.30835819244384766
42,10,366,8.714285714285714,0.3075489401817322
43,10,376,8.744186046511627,0.30644768476486206
44,10,386,8.772727272727273,0.305085688829422
45,10,396,8.8,0.30349141359329224
46,10,406,8.826086956521738,0.3016910254955292
47,10,416,8.851063829787234,0.29970821738243103
48,10,426,8.875,0.29756465554237366
49,10,436,8.89795918367347,0.29527971148490906
50,10,446,8.92,0.2928714156150818
51,10,456,8.941176470588236,0.27914151549339294
52,10,466,8.961538461538462,0.24157774448394775
53,10,476,8.981132075471699,0.16872607171535492
54,10,486,9.0,0.07180892676115036
55,10,496,9.018181818181818,0.00228880369104445
56,10,506,9.035714285714286,0.0518847219645977
57,10,516,9.052631578947368,0.11107710748910904
58,10,526,9.068965517241379,0.0720868781208992
59,10,536,9.084745762711865,0.018138250336050987
60,10,546,9.1,3.185126115567982e-05
61,10,556,9.114754098360656,0.013545352034270763
62,10,566,9.129032258064516,0.03472900390625
63,10,576,9.142857142857142,0.04801396653056145
64,10,586,9.15625,0.048937227576971054
65,10,596,9.169230769230769,0.03895169869065285
66,10,606,9.181818181818182,0.022685294970870018
67,10,616,9.194029850746269,0.0071545131504535675
68,10,626,9.205882352941176,4.07165389333386e-05
69,10,636,9.217391304347826,0.005006869789212942
70,10,646,9.228571428571428,0.01649315096437931
71,10,656,9.23943661971831,0.022830238565802574
72,10,666,9.25,0.018445950001478195
73,10,676,9.26027397260274,0.008546851575374603
74,10,686,9.27027027027027,0.0013236695667728782
75,10,696,9.28,0.0003336574009153992
76,10,706,9.289473684210526,0.00384512054733932
77,10,716,9.2987012987013,0.00815004575997591
78,10,726,9.307692307692308,0.010408149100840092
79,10,736,9.316455696202532,0.009633666835725307
80,10,746,9.325,0.006512020248919725
81,10,756,9.333333333333334,0.0027735161129385233
82,10,766,9.341463414634147,0.000334522919729352
83,10,776,9.349397590361447,0.00028398280846886337
84,10,786,9.357142857142858,0.0021541316527873278
85,10,796,9.364705882352942,0.004192769061774015
86,10,806,9.372093023255815,0.004732405301183462
87,10,816,9.379310344827585,0.0034899699967354536
88,10,826,9.386363636363637,0.0015431423671543598
89,10,836,9.393258426966293,0.00021570251556113362
90,10,846,9.4,9.022096492117271e-05
91,10,856,9.406593406593407,0.0008538411930203438
92,10,866,9.41304347826087,0.001763174426741898
93,10,876,9.419354838709678,0.0021899540442973375
94,10,886,9.425531914893616,0.0019223011331632733
95,10,896,9.43157894736842,0.0011762554058805108
96,10,906,9.4375,0.00040411276859231293
97,10,916,9.443298969072165,1.4483928680419922e-05
98,10,926,9.448979591836734,0.00013804702030029148
99,10,936,9.454545454545455,0.000570082338526845
100,10,946,9.46,0.0009368884493596852
101,10,956,9.465346534653465,0.0009702462702989578
102,10,966,9.470588235294118,0.0006764621939510107
103,10,976,9.475728155339805,0.000281261425698176
104,10,986,9.48076923076923,3.130054028588347e-05
105,10,996,9.485714285714286,2.831930760294199e-05
106,10,1006,9.49056603773585,0.00020048678561579436
107,10,1016,9.495327102803738,0.00038861340726725757
108,10,1026,9.5,0.0004604519344866276
109,10,1036,9.504587155963304,0.00038075167685747147
110,10,1046,9.50909090909091,0.0002113738446496427
111,10,1056,9.513513513513514,5.791057265014388e-05
112,10,1066,9.517857142857142,1.485508049903217e-09
113,10,1076,9.52212389380531,4.6697376092197374e-05
114,9,1085,9.517543859649123,0.0004107812128495425
115,8,1093,9.504347826086956,0.001757445395924151
116,10,1103,9.508620689655173,0.0014417368220165372
117,10,1113,9.512820512820513,0.0002162365708500147
118,-39,1074,9.101694915254237,15.346028327941895
119,2,1076,9.042016806722689,2.9311931133270264
120,10,1086,9.05,2.6832387447357178
121,10,1096,9.057851239669422,2.3259708881378174
122,10,1106,9.065573770491802,1.9226125478744507
123,10,1116,9.073170731707316,1.5220675468444824
124,10,1126,9.080645161290322,1.1565645933151245
125,9,1135,9.08,0.6122620701789856
126,10,1145,9.087301587301587,0.4263162910938263
127,10,1155,9.094488188976378,0.2826550006866455
128,10,1165,9.1015625,0.17611069977283478
129,10,1175,9.108527131782946,0.10069253295660019
130,10,1185,9.115384615384615,0.05046208202838898
131,10,1195,9.122137404580153,0.01998550072312355
132,10,1205,9.128787878787879,0.004512676503509283
133,10,1215,9.135338345864662,2.8220410968060605e-06
134,10,1225,9.14179104477612,0.003079860471189022
135,10,1235,9.148148148148149,0.010965690948069096
136,10,1245,9.154411764705882,0.021414944902062416
137,10,1255,9.16058394160584,0.032660651952028275
138,10,1265,9.166666666666666,0.043367620557546616
139,10,1275,9.172661870503598,0.05259069800376892
140,10,1285,9.178571428571429,0.059732142835855484
